name,description,exchange,close,currency,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,SMA10,SMA30,SMA50,SMA100,SMA200,RSI,trend_score,trend_label,rsi_state
AUTO,Autotrader Group PLC,LSE,493.90,GBX,-0.22,-1.26,4.55,7.81,-27.37,-15.11,-41.98,-10.53,29.26,89.23,2.35,2.91,501.31,495.36,487.88,511.41,633.21,47.84,3,SIDEWAYS,NEUTRAL
NEXI,Nexi S.p.A.,MIL,3.80,EUR,-0.31,-9.48,11.17,17.96,-7.16,-9.93,-30.11,-76.01,-56.55,-56.55,4.39,4.24,4.04,3.74,3.43,3.55,4.13,50.53,3,SIDEWAYS,NEUTRAL
CRDA,Croda International Plc,LSE,2772.00,GBX,0.22,-3.58,-6.07,-10.93,-2.50,1.69,-12.11,-57.92,-7.32,663.64,2.27,2.32,2816.40,2895.33,2833.12,2842.29,2765.79,40.40,3,SIDEWAYS,NEUTRAL
BLND,British Land Company PLC,LSE,375.80,GBX,0.37,-5.01,-0.58,-6.14,-4.18,-6.61,-3.94,-27.68,-47.37,10.00,3.26,2.89,381.92,383.32,376.41,391.92,378.21,45.95,3,SIDEWAYS,NEUTRAL
FPE3,FUCHS SE Pref Registered Shs,XETR,37.08,EUR,-0.11,-4.83,-3.19,-0.43,-6.36,-3.54,-16.64,-11.67,2.71,3406.54,1.92,2.00,38.40,38.02,36.71,37.29,38.37,45.01,3,SIDEWAYS,NEUTRAL
MC,LVMH Moet Hennessy Louis Vuitton SE,EURONEXT,460.20,EUR,1.75,-3.61,-3.32,-12.19,-27.62,-28.26,-14.45,-26.95,216.62,2581.52,2.47,2.70,458.98,470.83,474.38,528.10,542.47,45.71,2,SIDEWAYS,NEUTRAL
OR,L'Oreal S.A.,EURONEXT,356.45,EUR,0.24,-5.02,0.07,-3.53,-0.99,-2.60,-7.19,0.91,125.03,10487.67,1.89,2.10,361.50,360.23,358.66,371.04,373.97,46.52,2,SIDEWAYS,NEUTRAL
ITX,"Industria de Diseno Textil, S.A.",BME,49.31,EUR,0.53,-7.03,-7.69,-14.98,1.63,-12.73,2.07,59.48,76.74,1231.26,1.98,2.35,50.36,51.82,51.61,53.95,50.43,40.78,2,SIDEWAYS,NEUTRAL
CDI,Christian Dior SE,EURONEXT,432.40,EUR,1.93,-3.01,-5.34,-13.52,-27.69,-27.69,-13.21,-31.04,186.64,12983.21,2.39,2.63,431.72,445.91,450.64,497.90,511.10,44.48,2,SIDEWAYS,NEUTRAL
RACE,Ferrari NV,MIL,286.30,EUR,1.11,-0.73,-5.20,-12.85,-20.67,-9.97,-34.93,74.57,640.94,565.81,2.52,2.82,285.89,295.95,293.68,299.92,337.30,45.15,2,SIDEWAYS,NEUTRAL
BA.,BAE Systems plc,LSE,1921.01,GBX,-0.39,-7.82,-14.18,-0.44,7.68,12.11,13.67,275.05,295.84,4922.25,3.22,2.93,1986.81,2118.57,2160.14,2061.87,1943.57,33.07,2,SIDEWAYS,NEUTRAL
NWG,NatWest Group Plc,LSE,565.39,GBX,0.25,-2.15,-8.63,-5.77,-7.25,-13.42,15.48,173.44,150.60,-62.37,3.18,2.72,569.64,586.51,576.92,608.12,584.44,45.17,2,SIDEWAYS,NEUTRAL
VOW3,Volkswagen AG Pref,XETR,88.24,EUR,1.99,-0.74,-0.61,-13.79,-10.23,-14.79,-16.00,-58.48,-31.70,156.58,1.83,2.35,86.76,87.96,88.36,95.51,95.94,51.03,2,SIDEWAYS,NEUTRAL
DNB,DNB Bank ASA,OSL,276.30,NOK,0.00,-1.36,-10.58,-6.69,3.02,-2.13,4.66,53.50,182.80,781.73,1.51,1.52,279.34,292.20,292.63,288.87,277.81,36.05,2,SIDEWAYS,NEUTRAL
HEIA,Heineken NV,EURONEXT,65.42,EUR,1.49,-2.36,-3.74,-17.88,-7.96,-5.87,-15.74,-33.99,-20.88,96.76,1.33,2.07,65.42,66.80,67.72,69.67,68.97,44.57,2,SIDEWAYS,NEUTRAL
