name,description,exchange,close,currency,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,SMA10,SMA30,SMA50,SMA100,SMA200,RSI,trend_score,trend_label,rsi_state
KMB,Kimberly-Clark Corporation,NASDAQ,97.60,USD,0.58,-1.72,1.76,-9.16,-7.06,-3.55,-26.94,-27.17,-24.24,49263.00,2.02,2.29,97.53,97.33,98.25,100.67,109.75,49.26,2,SIDEWAYS,NEUTRAL
PAYX,"Paychex, Inc.",NASDAQ,90.14,USD,0.24,-1.16,0.91,-4.26,-19.75,-19.61,-40.09,-9.67,74.31,43211.44,2.71,2.69,92.56,91.50,92.31,97.81,111.70,43.58,2,SIDEWAYS,NEUTRAL
HBAN,Huntington Bancshares Incorporated,NASDAQ,15.55,USD,1.30,-6.33,-6.04,-14.04,-0.64,-10.53,-3.24,-1.46,60.31,1361.43,2.07,2.38,16.08,16.38,16.04,16.90,16.76,38.93,2,SIDEWAYS,NEUTRAL
GEHC,GE Healthcare Technologies Inc.,NASDAQ,62.64,USD,1.21,1.31,-15.44,-21.32,-15.02,-24.15,-14.79,-0.57,-0.57,-0.57,2.41,2.85,61.81,67.80,69.40,75.82,75.79,39.43,2,SIDEWAYS,NEUTRAL
PPL,PPL Corporation,NYSE,35.76,USD,0.03,-3.04,-9.45,-1.16,-2.21,2.17,6.18,22.09,-7.72,431.58,1.63,1.94,36.64,38.13,38.02,37.12,36.69,31.22,2,SIDEWAYS,NEUTRAL
FE,FirstEnergy Corp.,NYSE,44.22,USD,0.22,-1.68,-13.24,-8.17,-3.33,-1.44,7.47,16.91,31.79,70.06,1.37,1.96,45.23,48.48,49.23,48.22,46.61,22.99,2,SIDEWAYS,OVERSOLD
SYF,Synchrony Financial,NYSE,70.54,USD,1.05,-6.43,-4.79,-4.13,-3.37,-15.73,15.38,51.67,142.91,206.71,2.49,2.48,72.75,74.06,70.90,74.07,74.23,40.81,2,SIDEWAYS,NEUTRAL
CMS,CMS Energy Corporation,NYSE,72.82,USD,0.01,-1.39,-6.96,-2.63,-1.62,4.16,5.34,14.41,73.79,67.88,1.16,1.67,73.94,76.25,76.45,74.52,73.61,35.64,2,SIDEWAYS,NEUTRAL
DRI,"Darden Restaurants, Inc.",NYSE,193.75,USD,0.48,0.15,1.20,-9.48,10.62,4.99,-5.77,39.52,206.95,3228.78,2.75,2.70,194.99,196.64,198.20,201.36,196.24,45.35,2,SIDEWAYS,NEUTRAL
OMC,Omnicom Group Inc,NYSE,75.04,USD,1.08,-2.24,-1.56,7.65,2.94,-7.07,-2.77,-10.55,-10.21,6696.04,2.73,2.65,76.22,76.52,77.04,77.43,76.75,43.53,2,SIDEWAYS,NEUTRAL
